Quantidade;Ocorrencia
Corrigir Login;793
Corrigir CPF;502
Editar Contato;445
Remover Conta;388
Apagar Contato;381
Status Problema;182
Troca Simples;139
Oferta Restrita;124
Login por E-mail;123
Desbloqueio Sendgrid;106
Código Kroton;101
Integração Unip;83
Follow Up;65
Transferir Ordem;56
Liberar WhatsappChat;51
Estado Pgmt Errado;48
Admin Bloqueado;40
Refund Keep Coupon;39
Reembolso Inefável;38
Pagarme Pechincha;31
Roubo de Contato;24
Permissões;20
Chargebacks;18
Troca de Time;16
Desbloqueio de CPF;15
Whatsapp Cheio;14